genus,species,num_loc,lat_min,lon_min,lat_max,lon_max
Bardylis,metallicus,1,-21.9182855,144.4588889,-21.9182855,144.4588889
Bardylis,multiguttatus,1,-21.9182855,144.4588889,-21.9182855,144.4588889
Bardylis,shillingsworthi,1,-21.9182855,144.4588889,-21.9182855,144.4588889
Bardylis,silvensis,1,-21.9182855,144.4588889,-21.9182855,144.4588889
Botryoideclava,bharatiya,3,15.9240905,76.0554568,27.1303344,80.859666
Botryoideclava,thailandica,1,14.8971921,100.83273,14.8971921,100.83273
Cales,berryi,1,-41.500083,172.8344077,-41.500083,172.8344077
Cales,bicolor,1,10.2735633,-84.0739101,10.2735633,-84.0739101
Cales,breviclava,1,10.2735633,-84.0739101,10.2735633,-84.0739101
Cales,brevisensillum,1,10.2735633,-84.0739101,10.2735633,-84.0739101
Cales,curvigladius,1,2.893108,-73.7845142,2.893108,-73.7845142
Cales,longiseta,1,10.2735633,-84.0739101,10.2735633,-84.0739101
Cales,multisensillum,1,4.0039882,-52.9999979,4.0039882,-52.9999979
Cales,noacki,22,-34.9964962,-118.7559973,52.2368295,85.2451666
Cales,noyesi,1,10.2735633,-84.0739101,10.2735633,-84.0739101
Cales,orchamoplati,2,-30.5343664,135.6301212,-21.9182855,144.4588889
Cales,parvigladius,1,10.2735633,-84.0739101,10.2735633,-84.0739101
Cales,rosei,1,36.7014631,-118.7559973,36.7014631,-118.7559973
Cales,spenceri,1,-21.9182855,144.4588889,-21.9182855,144.4588889
Centrodora,acridiphagus,3,43.0285558,10.4234469,51.0834196,19.291739
Centrodora,amoena,14,40.0028028,-4.0031039,59.9393657,134.726645
Centrodora,australiensis,1,-21.9182855,144.4588889,-21.9182855,144.4588889
Centrodora,azizi,1,15.9240905,80.1863809,15.9240905,80.1863809
Centrodora,bahara,1,27.1303344,80.859666,27.1303344,80.859666
Centrodora,bifasciata,2,26.4073841,77.1828462,31.9292352,93.2551303
Centrodora,brevifuniculata,2,39.000041,12.674297,42.6384261,21.9999569
Centrodora,cercopiphagus,3,27.7567667,-89.6884636,44.4308975,-81.4639834
Centrodora,cicadae,1,42.6384261,12.674297,42.6384261,12.674297
Centrodora,citri,1,-34.9964962,-64.9672816,-34.9964962,-64.9672816
Centrodora,crocata,1,-28.8166235,24.991639,-28.8166235,24.991639
Centrodora,damoni,1,-21.9182855,144.4588889,-21.9182855,144.4588889
Centrodora,darwini,1,-21.9182855,144.4588889,-21.9182855,144.4588889
Centrodora,dorsati,5,47.1817585,14.5208584,59.6749712,19.5060937
Centrodora,flava,6,35.7730076,-100.3487609,64.6863136,97.7453061
Centrodora,flemingiae,1,23.4559809,85.2557301,23.4559809,85.2557301
Centrodora,fuscipennis,1,-21.9182855,144.4588889,-21.9182855,144.4588889
Centrodora,gerundensis,1,40.0028028,-4.0031039,40.0028028,-4.0031039
Centrodora,ghorpadei,1,14.5203896,75.7223521,14.5203896,75.7223521
