family,genus,species,num_orders,num_fam,num_spp
Aphelinidae,Coccophagus,candidus,0,0,0
Aphelinidae,Coccophagus,caophongi,1,1,1
Aphelinidae,Coccophagus,capensis,1,1,4
Aphelinidae,Coccophagus,caridei,2,5,42
Aphelinidae,Coccophagus,catherinae,1,1,1
Aphelinidae,Coccophagus,caudatus,0,0,0
Aphelinidae,Coccophagus,ceroplastae,2,7,58
Aphelinidae,Coccophagus,chaetosus,1,1,1
Aphelinidae,Coccophagus,chengtuensis,1,1,3
Aphelinidae,Coccophagus,chilensis,0,0,0
Aphelinidae,Coccophagus,chloropulvinariae,1,1,1
Aphelinidae,Coccophagus,cinguliventris,1,1,2
Aphelinidae,Coccophagus,clavatus,1,1,1
Aphelinidae,Coccophagus,clavellatus,0,0,0
Aphelinidae,Coccophagus,coccidarum,1,1,1
Aphelinidae,Coccophagus,comperei,1,1,1
Aphelinidae,Coccophagus,concinnus,0,0,0
Aphelinidae,Coccophagus,conditus,1,1,1
Aphelinidae,Coccophagus,cooperatus,1,1,5
Aphelinidae,Coccophagus,copernicus,0,0,0
Aphelinidae,Coccophagus,coracinus,1,1,1
Aphelinidae,Coccophagus,cowperi,2,5,22
Aphelinidae,Coccophagus,crenatus,1,1,1
Aphelinidae,Coccophagus,croconotus,1,1,1
Aphelinidae,Coccophagus,crucigerus,0,0,0
Aphelinidae,Coccophagus,cryptus,1,1,1
Aphelinidae,Coccophagus,cubaensis,1,1,3
Aphelinidae,Coccophagus,debachi,0,0,0
Aphelinidae,Coccophagus,desantisi,0,0,0
Aphelinidae,Coccophagus,desertus,1,1,1
Aphelinidae,Coccophagus,diabolicus,0,0,0
Aphelinidae,Coccophagus,diachraceus,1,1,3
Aphelinidae,Coccophagus,differens,1,1,4
Aphelinidae,Coccophagus,dilatatus,0,0,0
Aphelinidae,Coccophagus,diminutus,1,1,1
Aphelinidae,Coccophagus,dius,0,0,0
Aphelinidae,Coccophagus,divisus,0,0,0
Aphelinidae,Coccophagus,eleaphilus,1,4,10
Aphelinidae,Coccophagus,emersoni,0,0,0
Aphelinidae,Coccophagus,equifuniculatus,0,0,0
Aphelinidae,Coccophagus,eusaissetiae,1,1,3
Aphelinidae,Coccophagus,euxanthodes,1,1,2
Aphelinidae,Coccophagus,excelsus,1,2,2
Aphelinidae,Coccophagus,exiguiventris,1,1,1
Aphelinidae,Coccophagus,fallax,1,3,9
Aphelinidae,Coccophagus,fasciatus,1,1,3
Aphelinidae,Coccophagus,femoralis,0,0,0
Aphelinidae,Coccophagus,flavescens,1,1,1
Aphelinidae,Coccophagus,flaviceps,1,1,1
Aphelinidae,Coccophagus,flavicorpus,1,1,1
Aphelinidae,Coccophagus,flavidus,1,1,1
Aphelinidae,Coccophagus,flavifrons,1,3,6
Aphelinidae,Coccophagus,flavoscutellum,1,1,1
Aphelinidae,Coccophagus,fletcheri,1,1,1
Aphelinidae,Coccophagus,formicariae,1,1,1
Aphelinidae,Coccophagus,fraternus,1,1,6
Aphelinidae,Coccophagus,fumadus,0,0,0
Aphelinidae,Coccophagus,funeralis,0,0,0
Aphelinidae,Coccophagus,gahani,1,1,9
Aphelinidae,Coccophagus,ghesquierei,1,1,1
Aphelinidae,Coccophagus,gigas,1,1,1
Aphelinidae,Coccophagus,gilvus,1,1,1
Aphelinidae,Coccophagus,gondolae,0,0,0
Aphelinidae,Coccophagus,gonzalezi,0,0,0
Aphelinidae,Coccophagus,gossypariae,1,1,2
Aphelinidae,Coccophagus,graminis,1,1,2
Aphelinidae,Coccophagus,gregarius,1,2,2
Aphelinidae,Coccophagus,grenadensis,0,0,0
Aphelinidae,Coccophagus,gurneyi,2,3,18
Aphelinidae,Coccophagus,hanoiensis,1,1,2
Aphelinidae,Coccophagus,hawaiiensis,1,3,32
Aphelinidae,Coccophagus,hemera,1,1,2
Aphelinidae,Coccophagus,hibisci,0,0,0
Aphelinidae,Coccophagus,hispaniolae,1,1,1
Aphelinidae,Coccophagus,immaculatus,1,3,13
Aphelinidae,Coccophagus,impensus,1,1,1
Aphelinidae,Coccophagus,indefinitus,1,1,1
Aphelinidae,Coccophagus,indochraceus,1,1,1
Aphelinidae,Coccophagus,inkermani,0,0,0
Aphelinidae,Coccophagus,insidiator,1,3,19
Aphelinidae,Coccophagus,insignis,0,0,0
Aphelinidae,Coccophagus,ishiii,1,1,14
Aphelinidae,Coccophagus,isipingoensis,1,2,5
Aphelinidae,Coccophagus,japonicus,1,2,13
Aphelinidae,Coccophagus,jasnoshae,1,1,1
Aphelinidae,Coccophagus,javensis,1,1,1
