family,genus,species,mode,min_length,max_length,Nearctic,Neotropical,W.Palearctic,Ethiopian,E.Palearctic,Oriental,Australasian,lat_min,lon_min,lat_max,lon_max,lat_mean,lon_mean,lat_median,lon_median,nbr_country,nbr_host_spp,Aphididae,Aleyrodidae,Coccoidea,Other.Hemiptera,Diptera,Lepidoptera,Coleoptera,Hymenoptera,Thysanoptera,Neuroptera,Megaloptera,Angiosperms,Pinaceae,Cupressaceae,pair,min_dev,max_dev,eco
Aphelinidae,Encarsia,Luteola-deserti,sex,0.49,0.49,1,1,1,0,1,0,0,-36,-119,42,35,20,-67,28,-73,17,19,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,11,12,par
Aphelinidae,Encarsia,meritoria,both,0.6,0.6,1,1,1,1,0,0,0,-31,-119,46,35,23,-51,31,-65,15,21,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,11,11,par
Aphelinidae,Encarsia,oakeyensis,NA,NA,NA,0,0,0,0,0,0,1,-21,143,-21,143,-21,143,-21,143,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,par
Aphelinidae,Encarsia,protransvena,asex,0.7,0.7,1,1,1,1,1,1,1,-38,-156,42,178,15,-20,24,-67,21,22,0,1,1,0,0,0,0,0,0,0,0,0,0,0,11,NA,NA,par
Aphelinidae,Encarsia,smithi,sex,0.8,0.8,1,1,0,1,1,1,0,-31,-156,37,158,19,52,23,81,27,9,0,1,1,0,0,0,0,1,0,0,0,0,0,0,12,NA,NA,par
Aphelinidae,Encarsia,Sophia-transvena,sex,0.45,0.7,1,1,1,1,1,1,1,-38,-156,42,143,16,30,20,38,61,39,1,1,1,1,0,0,0,1,0,0,0,0,0,0,14,13,14,par
Aphelinidae,Encarsia,strenua,asex,1.1,1.1,1,1,1,0,1,1,0,-1,-119,40,138,24,34,24,81,19,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,NA,NA,par
Aphelinidae,Encarsia,suzannae,sex,NA,NA,1,0,0,0,0,0,0,32,-100,32,-100,32,-100,32,-100,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32,NA,NA,par
Aphelinidae,Encarsia,tabacivora,asex,NA,NA,1,1,0,0,0,0,0,-19,-119,37,45,23,-98,32,-111,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32,NA,NA,par
Aphelinidae,Eretmocerus,debachi,asex,0.789,0.789,1,0,1,0,0,0,0,31,-119,46,54,38,3,38,11,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,14,15,par
Aphelinidae,Eretmocerus,eremicus,sex,0.45,0.55,1,1,1,0,0,0,0,23,-119,51,54,34,-36,33,-12,12,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,15,17,17,par
Aphelinidae,Eretmocerus,haldemani,sex,0.598,0.598,1,1,1,0,0,1,0,-9,-119,48,81,32,-33,37,-75,11,12,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,NA,NA,par
Aphelinidae,Eretmocerus,hayati,sex,0.8,1,1,0,0,0,0,1,1,21,-119,37,79,31,-36,32,-100,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,par
Aphelinidae,Eretmocerus,mundus,both,0.6,0.7,1,0,1,1,1,1,1,-21,-119,55,167,28,32,31,34,49,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18,par
Aphelinidae,Eretmocerus,warrae,asex,NA,NA,0,0,0,0,0,0,1,-31,-97,29,147,-16,90,-28,136,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,NA,NA,par
