family,genus,species,reproduction,body_length_mm,distribution,coord_lower,coord_upper,number_loc,nbr_host_spp,Aphididae,Aleyrodidae,Coccoidea,Other Hemiptera,Diptera,Lepidoptera,Coleoptera,Hymenoptera,Thysanoptera,Neuroptera,Megaloptera,Angiosperms,Pinaceae,Cupressaceae,relation_group,development_time_days
Aphelinidae,Aphytis,merceti,sex,1.02-1.68,4,-31;23,-31;23,1,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,NA
Aphelinidae,Aphytis,moldavicus,asex,0.67-1.02,3-5,32;-83,50;71,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,NA
Aphelinidae,Aphytis,mytilaspidis,both,0.75-1.26,WW,-41;-128,60;175,83,88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19-21
Aphelinidae,Aphytis,notialis,sex,0.81-1.22,2,-38;-72,-36;-64,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,NA
Aphelinidae,Aphytis,obscurus,sex,0.76-1.11,2,-34;-58,-34;-58,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,NA
Aphelinidae,Aphytis,opuntiae,asex,0.7-1.2,3,39;-4,42;22,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,NA
Aphelinidae,Aphytis,paramaculicornis,sex,0.66-1.16,1-3-4-5-6,-31;-119,37;76,10,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,17
Aphelinidae,Aphytis,philippinensis,sex,0.94-1.18,3-5-6,11;31,27;122,6,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,NA
Aphelinidae,Aphytis,phoenicis,asex,0.55-0.88,3,24;31,31;45,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,NA
Aphelinidae,Aphytis,pinnaspidis,sex,0.63-1.00,2-6,-23;-103,24;79,6,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,NA
Aphelinidae,Aphytis,sensorius,sex,0.52-0.74,5,30;69,30;69,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,NA
Aphelinidae,Aphytis,taylori,sex,0.75-1.15,4,-31;23,-31;23,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,NA
Aphelinidae,Aphytis,testaceus,asex,0.99-1.23,3,40;20,47;48,4,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,NA
Aphelinidae,Aphytis,tucumani,sex,0.95-1.14,2,-38;-64,-38;-64,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,NA
Aphelinidae,Aphytis,vandenboschi,asex,0.57-1.14,1-3-5-6,23;-119,41;138,7,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,16-20
Aphelinidae,Aphytis,vastus,asex,0.7,4,-23;18,-23;18,1,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,NA
Aphelinidae,Aphytis,wallumbillae,asex,0.89,7,-21;143,-21;143,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,NA
Aphelinidae,Aphytis,yanonensis,asex,NA,3-5-6,24;2,46;138,7,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,NA
Aphelinidae,Aphytis,yasumatsui,sex,"0,81-1,18",5,36;138,36;138,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,NA
Aphelinidae,Encarsia,bimaculata,sex,NA,1-2-3-4-6-7,-35;-111,34;149,19,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,11-15
Aphelinidae,Encarsia,cibcensis,sex,0.52-0.68,6,-21;-160,32;167,7,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,NA
Aphelinidae,Encarsia,citrina,asex,0.5,WW,-41;-176,72;178,103,158,0,1,1,0,0,0,0,1,0,0,0,0,0,0,12,NA
Aphelinidae,Encarsia,formosa,asex,0.59,WW,-41;-175,62;178,95,29,0,1,0,1,0,0,0,1,0,0,0,1,0,0,2,14-21
Aphelinidae,Encarsia,gennaroi,sex,NA,1-3-7,-25;-119,46;134,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32,NA
Aphelinidae,Encarsia,guadaloupae,asex,0.60-0.75,1-2-3-4-6-7,-18;-156,28;178,23,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,23
Aphelinidae,Encarsia,Haitensis,sex,0.538,2-4-6,6;-156,24;121,7,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,NA
