"family","genus","species","reproduction","min_length","max_length","Nearctic","Neotropical","W.Palearctic","Ethiopian","E.Palearctic","Oriental","Australasian","lat_min","lon_min","lat_max","lon_max","number_loc","nbr_host_spp","Aphididae","Aleyrodidae","Coccoidea","Other.Hemiptera","Diptera","Lepidoptera","Coleoptera","Hymenoptera","Thysanoptera","Neuroptera","Megaloptera","Angiosperms","Pinaceae","Cupressaceae","relation_group","min_dev","max_dev"
"Trichogrammatidae","Trichogramma","bourarachae","sex",NA,NA,0,0,1,0,0,0,0,32,-8,39,10,3,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,23,NA,NA
"Trichogrammatidae","Trichogramma","cacoeciae","asex",NA,NA,1,1,1,0,1,1,0,-38,-119,59,127,40,58,0,0,0,1,1,1,0,1,0,0,0,0,0,0,24,NA,NA
"Trichogrammatidae","Trichogramma","closterae","sex",NA,NA,0,0,0,0,1,1,0,30,114,42,123,6,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,NA,NA
"Trichogrammatidae","Trichogramma","cordubensis","asex",NA,NA,0,0,1,0,0,0,0,32,-26,40,54,5,14,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,15,17
"Trichogrammatidae","Trichogramma","nerudai","sex",NA,NA,0,1,0,0,0,0,0,-38,-72,-36,-64,2,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,9,11
"Trichogrammatidae","Trichogramma","nubilale","asex",NA,NA,1,0,0,0,0,1,0,23,-100,47,113,11,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,NA,NA
"Trichogrammatidae","Trichogramma","oleae","asex",NA,NA,0,1,1,0,0,0,0,-38,-64,46,22,4,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,NA,NA
"Trichogrammatidae","Trichogramma","ostriniae","sex",0.5,0.65,1,0,0,1,1,1,0,-31,-84,46,138,18,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,NA,NA
"Trichogrammatidae","Trichogramma","pratti","sex",NA,NA,1,0,0,0,0,0,0,37,-119,37,-119,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,NA,NA
"Trichogrammatidae","Trichogramma","sathon","sex",NA,NA,1,1,0,0,0,0,0,24,-119,37,-100,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,NA,NA
"Trichogrammatidae","Trichogramma","semblidis","asex",0.5,0.5,1,0,1,0,1,1,0,15,-149,64,83,32,59,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,NA,NA
"Trichogrammatidae","Trichogramma","sibericum","asex",NA,NA,1,0,0,0,1,0,0,37,-128,54,113,4,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,NA,NA
"Trichogrammatidae","Trichogramma","tshumakovae","sex",NA,NA,0,0,1,0,1,0,0,32,54,41,75,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,NA,NA
"Trichogrammatidae","Trichogrammatoidea","armigera","sex",0.45,0.5,0,1,0,1,0,1,0,-31,-122,39,122,21,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,NA,NA
"Trichogrammatidae","Trichogrammatoidea","bactrae","sex",0.42,0.5,1,1,1,0,0,1,1,-41,-119,37,175,22,41,0,0,0,0,1,1,0,0,0,0,0,0,0,0,23,NA,NA
