family,genus,species,ref
Aphelinidae,Encarsia,intermedia,2
Aphelinidae,Encarsia,interstrica,3
Aphelinidae,Encarsia,iris,7
Aphelinidae,Encarsia,isaaci,1
Aphelinidae,Encarsia,ishii,11
Aphelinidae,Encarsia,ixorae,1
Aphelinidae,Encarsia,japonica,2
Aphelinidae,Encarsia,jowaiana,1
Aphelinidae,Encarsia,juanae,3
Aphelinidae,Encarsia,justicia,9
Aphelinidae,Encarsia,kalamundae,4
Aphelinidae,Encarsia,kasparyani,2
Aphelinidae,Encarsia,kemneri,3
Aphelinidae,Encarsia,khadijae,1
Aphelinidae,Encarsia,koebelei,2
Aphelinidae,Encarsia,lacuma,2
Aphelinidae,Encarsia,lahorensis,11
Aphelinidae,Encarsia,lambei,1
Aphelinidae,Encarsia,lanceolata,1
Aphelinidae,Encarsia,lasallei,9
Aphelinidae,Encarsia,latipennis,1
Aphelinidae,Encarsia,lehri,1
Aphelinidae,Encarsia,leptosa,5
Aphelinidae,Encarsia,leucaenae,2
Aphelinidae,Encarsia,leucaspidis,4
Aphelinidae,Encarsia,leucippi,7
Aphelinidae,Encarsia,levadicola,1
Aphelinidae,Encarsia,levo,1
Aphelinidae,Encarsia,liliyingae,2
Aphelinidae,Encarsia,lineolata,4
Aphelinidae,Encarsia,lipaleyrodis,1
Aphelinidae,Encarsia,llera,2
Aphelinidae,Encarsia,llerica,2
Aphelinidae,Encarsia,longicauda,6
Aphelinidae,Encarsia,longicornis,3
Aphelinidae,Encarsia,longifasciata,3
Aphelinidae,Encarsia,longisetae,1
Aphelinidae,Encarsia,longisetosa,5
Aphelinidae,Encarsia,longispina,4
Aphelinidae,Encarsia,longivalvula,2
Aphelinidae,Encarsia,lopezi,1
Aphelinidae,Encarsia,lougae,6
Aphelinidae,Encarsia,lounsburyi,10
Aphelinidae,Encarsia,luoae,7
Aphelinidae,Encarsia,lutea,14
Aphelinidae,Encarsia,luteola,20
Aphelinidae,Encarsia,lycopersici,2
Aphelinidae,Encarsia,macoensis,1
Aphelinidae,Encarsia,macroptera,3
Aphelinidae,Encarsia,macula,2
Aphelinidae,Encarsia,maculata,4
Aphelinidae,Encarsia,maculiformis,2
Aphelinidae,Encarsia,madera,1
Aphelinidae,Encarsia,magnalata,4
Aphelinidae,Encarsia,magniclava,8
Aphelinidae,Encarsia,magnivena,4
Aphelinidae,Encarsia,mahoniae,3
Aphelinidae,Encarsia,margaritiventris,4
Aphelinidae,Encarsia,marginata,5
Aphelinidae,Encarsia,maria,8
Aphelinidae,Encarsia,marinikia,1
Aphelinidae,Encarsia,maritima,1
Aphelinidae,Encarsia,marxi,2
Aphelinidae,Encarsia,maura,4
Aphelinidae,Encarsia,meghalayana,1
Aphelinidae,Encarsia,melanostoma,1
Aphelinidae,Encarsia,merceti,2
Aphelinidae,Encarsia,meritoria,3
Aphelinidae,Encarsia,mescheryakovi,2
Aphelinidae,Encarsia,metallicus,1
Aphelinidae,Encarsia,mexicana,3
Aphelinidae,Encarsia,mexicella,2
Aphelinidae,Encarsia,microtricha,7
Aphelinidae,Encarsia,mineoi,10
Aphelinidae,Encarsia,minuta,1
Aphelinidae,Encarsia,moctezumana,2
Aphelinidae,Encarsia,moffsi,1
Aphelinidae,Encarsia,mohyuddini,1
Aphelinidae,Encarsia,mollicellae,1
Aphelinidae,Encarsia,morela,1
Aphelinidae,Encarsia,muliyali,3
Aphelinidae,Encarsia,multiciliata,7
Aphelinidae,Encarsia,nanjingensis,8
Aphelinidae,Encarsia,narayanani,1
Aphelinidae,Encarsia,narroi,3
Aphelinidae,Encarsia,nayarita,1
Aphelinidae,Encarsia,neocala,4
Aphelinidae,Encarsia,neocitricola,6
Aphelinidae,Encarsia,neoporteri,2
Aphelinidae,Encarsia,nepalensis,7
Aphelinidae,Encarsia,nigricephala,5
Aphelinidae,Encarsia,nigrifemur,2
Aphelinidae,Encarsia,nigriventris,3
Aphelinidae,Encarsia,niigatae,7
Aphelinidae,Encarsia,nipponica,8
Aphelinidae,Encarsia,nitella,4
Aphelinidae,Encarsia,noahi,1
Aphelinidae,Encarsia,noordami,1
Aphelinidae,Encarsia,norani,1
Aphelinidae,Encarsia,normarki,1
Aphelinidae,Encarsia,notha,6
Aphelinidae,Encarsia,noyesana,5
Aphelinidae,Encarsia,noyesi,11
Aphelinidae,Encarsia,nupta,1
Aphelinidae,Encarsia,oakeyensis,2
Aphelinidae,Encarsia,oaxaca,1
Aphelinidae,Encarsia,obliqua,1
Aphelinidae,Encarsia,obtusiclava,3
Aphelinidae,Encarsia,occultans,1
Aphelinidae,Encarsia,olgae,4
Aphelinidae,Encarsia,olivina,5
Aphelinidae,Encarsia,opulenta,3
Aphelinidae,Encarsia,orangae,2
Aphelinidae,Encarsia,ossira,1
Aphelinidae,Encarsia,papaceki,5
Aphelinidae,Encarsia,paracitrella,4
Aphelinidae,Encarsia,paradiaspidicola,1
Aphelinidae,Encarsia,parvella,2
Aphelinidae,Encarsia,paucisetosa,4
Aphelinidae,Encarsia,pauliani,3
Aphelinidae,Encarsia,pedana,4
Aphelinidae,Encarsia,peltata,8
Aphelinidae,Encarsia,perconfusa,1
Aphelinidae,Encarsia,perflava,8
Aphelinidae,Encarsia,pergandiella,15
Aphelinidae,Encarsia,perniciosi,15
Aphelinidae,Encarsia,perplexa,14
Aphelinidae,Encarsia,perpulchella,3
Aphelinidae,Encarsia,persequens,1
Aphelinidae,Encarsia,perseus,7
Aphelinidae,Encarsia,perstrenua,2
Aphelinidae,Encarsia,peruviana,2
Aphelinidae,Encarsia,phaea,6
Aphelinidae,Encarsia,picithorax,10
Aphelinidae,Encarsia,picta,5
Aphelinidae,Encarsia,pilosa,7
Aphelinidae,Encarsia,pinella,1
Aphelinidae,Encarsia,pineti,4
Aphelinidae,Encarsia,pithecura,5
Aphelinidae,Encarsia,pitilla,5
Aphelinidae,Encarsia,plana,2
Aphelinidae,Encarsia,planchoniae,4
Aphelinidae,Encarsia,plaumanni,1
Aphelinidae,Encarsia,polaszeki,1
Aphelinidae,Encarsia,porteri,5
Aphelinidae,Encarsia,portoricensis,3
Aphelinidae,Encarsia,praecipua,4
Aphelinidae,Encarsia,praegrandis,2
Aphelinidae,Encarsia,primitiva,1
Aphelinidae,Encarsia,prinslooi,1
Aphelinidae,Encarsia,prolata,4
Aphelinidae,Encarsia,protransvena,3
Aphelinidae,Encarsia,pseudoaonidiae,9
Aphelinidae,Encarsia,pseudocitrella,3
Aphelinidae,Encarsia,pseudococci,3
Aphelinidae,Encarsia,pulliclava,11
Aphelinidae,Encarsia,punicae,3
Aphelinidae,Encarsia,pura,1
Aphelinidae,Encarsia,quaintancei,11
Aphelinidae,Encarsia,quercicola,4
Aphelinidae,Encarsia,ramsesi,1
Aphelinidae,Encarsia,reeda,1
Aphelinidae,Encarsia,rentzi,4
Aphelinidae,Encarsia,reticulata,2
Aphelinidae,Encarsia,ruizi,2
Aphelinidae,Encarsia,sankarani,2
Aphelinidae,Encarsia,santaelenae,1
Aphelinidae,Encarsia,scapeata,1
Aphelinidae,Encarsia,schmidti,1
Aphelinidae,Encarsia,scylla,4
Aphelinidae,Encarsia,seminigriclava,2
Aphelinidae,Encarsia,septentrionalis,2
Aphelinidae,Encarsia,setata,1
Aphelinidae,Encarsia,shutovae,1
Aphelinidae,Encarsia,sikkimiana,1
Aphelinidae,Encarsia,silvestrii,3
Aphelinidae,Encarsia,silvifilia,7
Aphelinidae,Encarsia,singhiellae,1
Aphelinidae,Encarsia,singularis,6
Aphelinidae,Encarsia,sinica,1
Aphelinidae,Encarsia,siphonini,1
Aphelinidae,Encarsia,smithi,12
Aphelinidae,Encarsia,socratis,2
Aphelinidae,Encarsia,sophia,33
Aphelinidae,Encarsia,spinosa,4
Aphelinidae,Encarsia,stirlingia,4
Aphelinidae,Encarsia,strenua,4
Aphelinidae,Encarsia,subelongata,2
Aphelinidae,Encarsia,subhyalina,5
Aphelinidae,Encarsia,submetallica,6
Aphelinidae,Encarsia,sueloderi,12
Aphelinidae,Encarsia,superba,2
Aphelinidae,Encarsia,swifti,3
Aphelinidae,Encarsia,synaptocera,8
Aphelinidae,Encarsia,tabacivora,12
Aphelinidae,Encarsia,tachii,2
Aphelinidae,Encarsia,taciti,3
Aphelinidae,Encarsia,taiwanensis,2
Aphelinidae,Encarsia,tamaulipeca,4
Aphelinidae,Encarsia,tampicana,1
Aphelinidae,Encarsia,tapachula,4
Aphelinidae,Encarsia,tarsalis,2
Aphelinidae,Encarsia,telemachusi,1
Aphelinidae,Encarsia,tennysoni,9
Aphelinidae,Encarsia,terebrator,3
Aphelinidae,Encarsia,terebrella,3
Aphelinidae,Encarsia,tetraleurodis,4
Aphelinidae,Encarsia,thoracaphis,3
Aphelinidae,Encarsia,thoreauini,7
Aphelinidae,Encarsia,tinctoriae,1
Aphelinidae,Encarsia,titillata,2
Aphelinidae,Encarsia,totiaurea,2
Aphelinidae,Encarsia,toticilia,5
Aphelinidae,Encarsia,townsendi,7
Aphelinidae,Encarsia,tremblayi,2
Aphelinidae,Encarsia,trialeurodis,4
Aphelinidae,Encarsia,tricolor,10
Aphelinidae,Encarsia,trilineata,3
Aphelinidae,Encarsia,tristis,19
Aphelinidae,Encarsia,trivittata,6
Aphelinidae,Encarsia,trjapitzini,1
Aphelinidae,Encarsia,tuxpan,2
Aphelinidae,Encarsia,tuxtla,3
Aphelinidae,Encarsia,udaipuriensis,23
Aphelinidae,Encarsia,uncinata,7
Aphelinidae,Encarsia,unfasciata,9
Aphelinidae,Encarsia,unicitrella,4
Aphelinidae,Encarsia,unisetae,2
Aphelinidae,Encarsia,ustulata,2
Aphelinidae,Encarsia,vandrieschei,1
Aphelinidae,Encarsia,vanharteni,1
Aphelinidae,Encarsia,variegata,11
Aphelinidae,Encarsia,verticina,2
Aphelinidae,Encarsia,verticinella,5
Aphelinidae,Encarsia,viggianii,3
Aphelinidae,Encarsia,whittieri,3
Aphelinidae,Encarsia,woolleyi,2
Aphelinidae,Encarsia,xilitla,1
Aphelinidae,Encarsia,yumka,1
Aphelinidae,Eretmocerus,adustiscutum,5
Aphelinidae,Eretmocerus,aegypticus,4
Aphelinidae,Eretmocerus,aleurolobi,2
Aphelinidae,Eretmocerus,aleurothrixus,1
Aphelinidae,Eretmocerus,aleuroviggianus,1
