family,genus,species,nbr_country,lat_min,lon_min,lat_max,lon_max,lat_mean,lon_mean,lat_median,lon_median,host_order,host_fam,host_spp
Aphelinidae,Aphytis,comperei,7,-28.8166235,-99.5120985,31.8160381,114.1628131,16.2555614429,-15.0216388143,22.2793278,-77.3947692,1,1,9
Aphelinidae,Aphytis,confusus,2,-28.8166235,24.991639,23.1357694,113.1982688,-2.84042705,69.0949539,-2.84042705,69.0949539,1,1,3
Aphelinidae,Aphytis,cornuaspis,1,26.5450001,117.842778,26.5450001,117.842778,26.5450001,117.842778,26.5450001,117.842778,1,1,1
Aphelinidae,Aphytis,cylindratus,7,-22.2752761,-118.7559973,36.7014631,139.2394179,4.00851621429,-34.3473728286,-6.8699696,-44.1588653,1,2,5
Aphelinidae,Aphytis,debachi,5,22.2793278,-118.7559973,36.7014631,139.2394179,29.0472809,73.1374561,26.5450001,114.1628131,1,1,3
Aphelinidae,Aphytis,desantisi,1,-34.9964962,-64.9672816,-34.9964962,-64.9672816,-34.9964962,-64.9672816,-34.9964962,-64.9672816,1,1,1
Aphelinidae,Aphytis,diaspidis,58,-41.500083,-157.9752029,54.7023545,172.8344077,21.1385787483,-0.365686179843,30.6006141,10.4531353,1,3,63
Aphelinidae,Aphytis,elongatus,1,26.5450001,117.842778,26.5450001,117.842778,26.5450001,117.842778,26.5450001,117.842778,0,0,0
Aphelinidae,Aphytis,equatorialis,2,-28.8166235,-5.5679457,7.9897371,24.991639,-10.4134432,9.71184665,-10.4134432,9.71184665,1,1,1
Aphelinidae,Aphytis,erythraeus,3,-28.8166235,24.991639,15.9500319,38.6521203,-0.8849738,33.8812420333,10.2116702,37.9999668,1,1,2
Aphelinidae,Aphytis,faurei,1,-28.8166235,24.991639,-28.8166235,24.991639,-28.8166235,24.991639,-28.8166235,24.991639,0,0,0
Aphelinidae,Aphytis,fioriniae,1,26.4073841,93.2551303,26.4073841,93.2551303,26.4073841,93.2551303,26.4073841,93.2551303,1,1,1
Aphelinidae,Aphytis,fisheri,8,-28.8166235,-118.7559973,36.7014631,139.2394179,19.1484772,64.1506268125,23.1625261,87.333854,1,1,4
Aphelinidae,Aphytis,funicularis,1,-28.8166235,24.991639,-28.8166235,24.991639,-28.8166235,24.991639,-28.8166235,24.991639,1,1,7
Aphelinidae,Aphytis,gordoni,4,14.5203896,-118.7559973,36.7014631,114.1628131,24.159237475,46.081859175,22.7075486,94.46031045,1,1,3
Aphelinidae,Aphytis,griseus,1,-28.8166235,24.991639,-28.8166235,24.991639,-28.8166235,24.991639,-28.8166235,24.991639,1,1,4
Aphelinidae,Aphytis,hispanicus,34,-34.9964962,-160.355485,59.6749712,120.9820179,22.3379251265,1.62566785866,26.83766725,13.5975777,1,2,27
Aphelinidae,Aphytis,holoxanthus,23,-34.9964962,-118.7559973,36.7014631,144.4588889,13.7238160913,-3.23456765217,19.4326009,-53.1999999,1,1,12
Aphelinidae,Aphytis,huidongensis,1,23.1357694,113.1982688,23.1357694,113.1982688,23.1357694,113.1982688,23.1357694,113.1982688,1,1,1
Aphelinidae,Aphytis,ignotus,2,-41.500083,147.2869493,-31.8759834,172.8344077,-36.6880332,160.0606785,-36.6880332,160.0606785,1,1,1
Aphelinidae,Aphytis,immaculatus,3,23.1357694,-118.7559973,36.7014631,120.9820179,27.9370566333,38.4747631333,23.9739374,113.1982688,1,1,5
Aphelinidae,Aphytis,japonicus,2,36.5748441,126.7893535,37.5540282,139.2394179,37.06443615,133.0143857,37.06443615,133.0143857,1,1,2
Aphelinidae,Aphytis,keatsi,1,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,0,0,0
Aphelinidae,Aphytis,landii,1,-31.8759834,147.2869493,-31.8759834,147.2869493,-31.8759834,147.2869493,-31.8759834,147.2869493,1,1,1
Aphelinidae,Aphytis,lepidosaphes,39,-34.9964962,-157.9752029,42.6384261,179.0122737,14.9379847103,5.76257010769,21.2160437,12.674297,1,1,8
Aphelinidae,Aphytis,liangi,1,23.1357694,113.1982688,23.1357694,113.1982688,23.1357694,113.1982688,23.1357694,113.1982688,0,0,0
Aphelinidae,Aphytis,libanicus,6,26.2540493,12.674297,42.6384261,52.9471344,34.25734575,33.4431453667,33.40790625,34.96324245,1,1,6
Aphelinidae,Aphytis,limonus,1,21.2160437,-157.9752029,21.2160437,-157.9752029,21.2160437,-157.9752029,21.2160437,-157.9752029,0,0,0
Aphelinidae,Aphytis,lindingaspis,1,26.5450001,117.842778,26.5450001,117.842778,26.5450001,117.842778,26.5450001,117.842778,1,1,2
Aphelinidae,Aphytis,lingnanensis,50,-36.5986095,-118.7559973,40.0028028,179.0122737,10.388615178,28.7204007239,16.5925254,34.96324245,1,1,40
Aphelinidae,Aphytis,longicaudus,2,22.2793278,113.1982688,23.1357694,114.1628131,22.7075486,113.68054095,22.7075486,113.68054095,1,1,2
Aphelinidae,Aphytis,luteus,6,34.9823018,9.0982074,51.0834196,33.1451285,42.8416688667,17.8078550667,42.40124615,16.09019535,1,1,4
Aphelinidae,Aphytis,maculatipes,1,-25.2303004,121.0187246,-25.2303004,121.0187246,-25.2303004,121.0187246,-25.2303004,121.0187246,0,0,0
Aphelinidae,Aphytis,maculicornis,27,-34.9964962,-118.7559973,59.6749712,113.1982688,31.1390281,21.7928189778,36.7014631,31.2718321,1,1,21
Aphelinidae,Aphytis,manii,1,14.5203896,75.7223521,14.5203896,75.7223521,14.5203896,75.7223521,14.5203896,75.7223521,1,1,1
Aphelinidae,Aphytis,margaretae,2,-22.2752761,-99.1333415,19.4326009,-42.4194149,-1.4213376,-70.7763782,-1.4213376,-70.7763782,1,1,6
Aphelinidae,Aphytis,mashae,1,19.4326009,-99.1333415,19.4326009,-99.1333415,19.4326009,-99.1333415,19.4326009,-99.1333415,0,0,0
Aphelinidae,Aphytis,matruhi,1,26.2540493,29.2675469,26.2540493,29.2675469,26.2540493,29.2675469,26.2540493,29.2675469,1,1,1
Aphelinidae,Aphytis,mazalae,4,23.1357694,71.247499,36.5748441,139.2394179,28.50384775,111.1668009,27.15238875,117.09014335,1,1,10
Aphelinidae,Aphytis,melinus,30,-36.5986095,-118.7559973,52.2379891,144.6780052,13.538966315,26.1449049306,24.84038475,29.06838375,1,1,24
Aphelinidae,Aphytis,merceti,1,-28.8166235,24.991639,-28.8166235,24.991639,-28.8166235,24.991639,-28.8166235,24.991639,1,2,9
Aphelinidae,Aphytis,mimosae,2,-28.8166235,24.991639,10.2116702,38.6521203,-9.30247665,31.82187965,-9.30247665,31.82187965,1,2,2
Aphelinidae,Aphytis,minutissimus,1,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,1,1,1
Aphelinidae,Aphytis,miquihuana,1,19.4326009,-99.1333415,19.4326009,-99.1333415,19.4326009,-99.1333415,19.4326009,-99.1333415,1,1,1
Aphelinidae,Aphytis,moldavicus,4,38.6281733,15.4749544,49.8167003,70.8156541,44.353147825,39.707592575,44.48385885,36.2698809,1,1,4
